date,adj_close,open,close
2016-01-04,85.24,88.8,85.24
2016-01-05,85.0,85.2,85.0
2016-01-06,85.3,84.01,85.3
2016-01-07,81.92,83.71,81.92
2016-01-08,84.58,82.66,84.58
2016-01-11,85.0,85.13,85.0
2016-01-12,88.32,87.56,88.32
2016-01-13,85.81,88.96,85.81
2016-01-14,87.88,86.1,87.88
2016-01-15,87.41,85.16,87.41
2016-01-19,86.25,88.6,86.25
2016-01-20,83.17,84.75,83.17
2016-01-21,82.94,83.42,82.94
2016-01-22,86.68,84.23,86.68
2016-01-25,89.29,86.66,89.29
2016-01-26,86.62,89.52,86.62
2016-01-27,83.35,86.53,83.35
2016-01-28,81.77,83.79,81.77
2016-01-29,85.33,81.96,85.33
2016-02-01,85.46,84.13,85.46
2016-02-02,84.48,84.87,84.48
2016-02-03,84.81,84.89,84.81
2016-02-04,92.0,89.52,92.0
2016-02-05,81.53,92.0,81.53
2016-02-08,71.16,80.59,71.16
2016-02-09,71.0,70.5,71.0
2016-02-10,72.38,71.98,72.38
2016-02-11,72.77,70.84,72.77
2016-02-12,73.03,73.44,73.03
2016-02-16,78.36,74.0,78.36
2016-02-17,77.45,78.68,77.45
2016-02-18,79.51,77.77,79.51
2016-02-19,81.32,79.1,81.32
2016-02-22,82.45,81.89,82.45
2016-02-23,82.07,82.52,82.07
2016-02-24,80.89,80.54,80.89
2016-02-25,82.0,81.2,82.0
2016-02-26,80.65,82.33,80.65
2016-02-29,80.01,80.4,80.01
2016-03-01,83.99,80.75,83.99
2016-03-02,82.21,84.15,82.21
2016-03-03,83.06,82.04,83.06
2016-03-04,84.0,82.71,84.0
2016-03-07,85.18,84.09,85.18
2016-03-08,84.25,84.86,84.25
2016-03-09,87.4,84.55,87.4
2016-03-10,85.98,87.97,85.98
2016-03-11,87.66,86.7,87.66
2016-03-14,88.21,87.2,88.21
2016-03-15,87.34,88.03,87.34
2016-03-16,85.67,86.88,85.67
2016-03-17,85.57,85.6,85.57
2016-03-18,87.53,86.0,87.53
2016-03-21,88.88,87.11,88.88
2016-03-22,93.5,88.4,93.5
2016-03-23,91.54,93.2,91.54
2016-03-24,90.6,90.7,90.6
2016-03-28,90.48,91.36,90.48
2016-03-29,93.11,89.99,93.11
2016-03-30,93.03,93.74,93.03
2016-03-31,94.81,92.79,94.81
2016-04-01,96.58,94.62,96.58
2016-04-04,95.7,96.64,95.7
2016-04-05,95.14,95.06,95.14
2016-04-06,97.22,94.92,97.22
2016-04-07,95.64,96.97,95.64
2016-04-08,96.25,99.0,96.25
2016-04-11,95.1,96.45,95.1
2016-04-12,96.18,95.02,96.18
2016-04-13,98.57,96.63,98.57
2016-04-14,97.37,98.75,97.37
2016-04-15,98.22,96.86,98.22
2016-04-18,101.17,97.66,101.17
2016-04-19,100.38,101.77,100.38
2016-04-20,101.64,100.77,101.64
2016-04-21,102.12,101.38,102.12
2016-04-22,101.83,100.64,101.83
2016-04-25,102.3,101.5,102.3
2016-04-26,102.03,102.37,102.03
2016-04-27,102.05,101.73,102.05
2016-04-28,99.94,99.5,99.94
2016-04-29,97.14,99.38,97.14
2016-05-02,99.26,97.61,99.26
2016-05-03,98.9,101.06,98.9
2016-05-04,94.89,98.92,94.89
2016-05-05,94.77,94.88,94.77
2016-05-06,94.94,93.82,94.94
2016-05-09,96.41,94.58,96.41
2016-05-10,96.75,97.1,96.75
2016-05-11,96.1,96.28,96.1
2016-05-12,94.27,96.18,94.27
2016-05-13,94.08,94.0,94.08
2016-05-16,96.42,94.44,96.42
2016-05-17,94.13,95.69,94.13
2016-05-18,95.06,93.75,95.06
2016-05-19,95.36,94.32,95.36
2016-05-20,97.28,96.0,97.28
2016-05-23,96.99,96.88,96.99
2016-05-24,99.62,97.6,99.62
2016-05-25,98.94,99.81,98.94
2016-05-26,98.8,99.43,98.8
2016-05-27,99.74,98.81,99.74
2016-05-31,99.31,99.22,99.31
2016-06-01,101.58,98.98,101.58
2016-06-02,101.87,101.5,101.87
2016-06-03,101.81,101.75,101.81
2016-06-06,101.89,101.64,101.89
2016-06-07,104.31,101.92,104.31
2016-06-08,104.37,104.54,104.37
2016-06-09,104.31,104.23,104.31
2016-06-10,102.53,103.31,102.53
2016-06-13,101.77,101.93,101.77
2016-06-14,102.03,101.56,102.03
