date,adj_close,open,close
2016-01-04,91.97,91.77,91.97
2016-01-05,92.34,92.01,92.34
2016-01-06,91.02,91.1,91.02
2016-01-07,89.11,89.4,89.11
2016-01-08,87.85,89.68,87.85
2016-01-11,89.38,88.07,89.38
2016-01-12,89.82,89.89,89.82
2016-01-13,88.3,90.59,88.3
2016-01-14,89.8,88.92,89.8
2016-01-15,89.17,86.84,89.17
2016-01-19,89.18,90.29,89.18
2016-01-20,87.94,87.69,87.94
2016-01-21,88.0,88.64,88.0
2016-01-22,89.63,89.55,89.63
2016-01-25,86.77,88.39,86.77
2016-01-26,86.89,87.26,86.89
2016-01-27,84.85,87.27,84.85
2016-01-28,84.52,85.54,84.52
2016-01-29,89.13,85.55,89.13
2016-02-01,89.61,88.16,89.61
2016-02-02,87.95,88.71,87.95
2016-02-03,87.99,88.91,87.99
2016-02-04,86.36,87.82,86.36
2016-02-05,79.2,85.5,79.2
2016-02-08,74.94,77.4,74.94
2016-02-09,73.85,74.76,73.85
2016-02-10,75.53,74.99,75.53
2016-02-11,74.94,74.04,74.94
2016-02-12,76.67,75.99,76.67
2016-02-16,78.88,77.13,78.88
2016-02-17,81.85,79.4,81.85
2016-02-18,80.53,82.3,80.53
2016-02-19,80.87,80.32,80.87
2016-02-22,83.8,82.09,83.8
2016-02-23,83.07,83.41,83.07
2016-02-24,83.42,82.22,83.42
2016-02-25,86.68,84.76,86.68
2016-02-26,86.6,87.11,86.6
2016-02-29,85.15,86.01,85.15
2016-03-01,88.37,85.92,88.37
2016-03-02,88.39,88.12,88.39
2016-03-03,87.21,88.5,87.21
2016-03-04,86.18,87.93,86.18
2016-03-07,85.11,85.58,85.11
2016-03-08,84.35,84.25,84.35
2016-03-09,85.27,84.88,85.27
2016-03-10,84.85,85.06,84.85
2016-03-11,86.0,85.2,86.0
2016-03-14,87.01,86.11,87.01
2016-03-15,86.83,86.4,86.83
2016-03-16,88.17,86.7,88.17
2016-03-17,89.96,88.66,89.96
2016-03-18,93.42,98.0,93.42
2016-03-21,92.5,92.69,92.5
2016-03-22,92.56,92.06,92.56
2016-03-23,92.16,92.62,92.16
2016-03-24,92.52,91.5,92.52
2016-03-28,92.4,92.68,92.4
2016-03-29,93.22,91.79,93.22
2016-03-30,93.78,93.63,93.78
2016-03-31,93.8,93.76,93.8
2016-04-01,95.16,93.33,95.16
2016-04-04,94.5,95.42,94.5
2016-04-05,94.17,93.32,94.17
2016-04-06,95.4,94.07,95.4
2016-04-07,93.78,94.72,93.78
2016-04-08,94.07,94.48,94.07
2016-04-11,92.95,94.43,92.95
2016-04-12,93.42,93.18,93.42
2016-04-13,94.53,93.82,94.53
2016-04-14,94.44,94.34,94.44
2016-04-15,95.16,94.66,95.16
2016-04-18,96.55,94.75,96.55
2016-04-19,96.52,97.0,96.52
2016-04-20,96.33,97.0,96.33
2016-04-21,96.37,96.21,96.37
2016-04-22,94.79,96.17,94.79
2016-04-25,95.8,94.38,95.8
2016-04-26,96.15,95.96,96.15
2016-04-27,95.64,95.72,95.64
2016-04-28,93.64,94.8,93.64
2016-04-29,94.22,92.89,94.22
2016-05-02,94.9,94.29,94.9
2016-05-03,93.66,94.07,93.66
2016-05-04,92.94,93.18,92.94
2016-05-05,93.5,93.1,93.5
2016-05-06,94.3,93.13,94.3
2016-05-09,94.61,94.0,94.61
2016-05-10,96.52,94.82,96.52
2016-05-11,96.1,96.26,96.1
2016-05-12,95.96,96.31,95.96
2016-05-13,95.97,95.62,95.97
2016-05-16,97.23,95.91,97.23
2016-05-17,95.93,96.81,95.93
2016-05-18,96.7,95.78,96.7
2016-05-19,95.88,96.41,95.88
2016-05-20,96.88,96.1,96.88
2016-05-23,96.62,96.71,96.62
2016-05-24,99.63,97.18,99.63
2016-05-25,99.61,99.91,99.61
2016-05-26,99.37,99.81,99.37
2016-05-27,100.14,99.52,100.14
2016-05-31,99.47,100.14,99.47
2016-06-01,100.04,99.24,100.04
2016-06-02,100.17,99.98,100.17
2016-06-03,98.7,99.52,98.7
2016-06-06,99.12,99.16,99.12
2016-06-07,98.52,99.51,98.52
2016-06-08,98.68,98.45,98.68
2016-06-09,98.07,98.36,98.07
2016-06-10,97.09,96.89,97.09
2016-06-13,96.96,96.87,96.96
2016-06-14,96.98,96.53,96.98
2016-06-15,97.02,97.01,97.02
2016-06-16,97.19,96.5,97.19
2016-06-17,95.58,97.25,95.58
2016-06-20,97.99,97.1,97.99
2016-06-21,99.72,98.64,99.72
2016-06-22,94.01,95.53,94.01
2016-06-23,96.21,94.73,96.21
2016-06-24,92.2,92.39,92.2
2016-06-27,90.85,91.36,90.85
2016-06-28,92.46,91.37,92.46
2016-06-29,94.39,92.91,94.39
2016-06-30,95.79,94.48,95.79
2016-07-01,95.32,95.04,95.32
2016-07-05,94.73,94.55,94.73
2016-07-06,95.18,94.53,95.18
2016-07-07,95.14,95.01,95.14
2016-07-08,96.79,95.93,96.79
2016-07-11,97.14,96.98,97.14
2016-07-12,97.54,97.25,97.54
2016-07-13,97.34,97.97,97.34
2016-07-14,97.7,98.0,97.7
2016-07-15,97.83,98.39,97.83
