date,adj_close,open,close
2016-01-04,2.77,2.77,2.77
2016-01-05,2.75,2.77,2.75
2016-01-06,2.505,2.66,2.505
2016-01-07,2.275,2.43,2.275
2016-01-08,2.14,2.36,2.14
2016-01-11,2.34,2.16,2.34
2016-01-12,2.39,2.4,2.39
2016-01-13,2.25,2.4,2.25
2016-01-14,2.21,2.29,2.21
2016-01-15,2.03,2.1,2.03
2016-01-19,1.95,2.08,1.95
2016-01-20,1.8,1.81,1.8
2016-01-21,2.09,1.82,2.09
2016-01-22,2.02,2.11,2.02
2016-01-25,2.12,2.01,2.12
2016-01-26,2.07,2.14,2.07
2016-01-27,2.13,2.08,2.13
2016-01-28,2.08,2.16,2.08
2016-01-29,2.2,2.09,2.2
2016-02-01,2.14,2.17,2.14
2016-02-02,1.99,2.11,1.99
2016-02-03,2.07,2.04,2.07
2016-02-04,2.09,2.06,2.09
2016-02-05,1.98,2.06,1.98
2016-02-08,1.93,1.97,1.93
2016-02-09,1.9,1.89,1.9
2016-02-10,1.84,1.92,1.84
2016-02-11,1.86,1.82,1.86
2016-02-12,1.83,1.89,1.83
2016-02-16,1.83,1.86,1.83
2016-02-17,1.9,1.85,1.9
2016-02-18,1.91,1.93,1.91
2016-02-19,1.91,1.93,1.91
2016-02-22,2.01,1.94,2.01
2016-02-23,1.97,2.04,1.97
2016-02-24,2.02,1.98,2.02
2016-02-25,2.03,2.02,2.03
2016-02-26,2.07,2.04,2.07
2016-02-29,2.14,2.06,2.14
2016-03-01,2.18,2.16,2.18
2016-03-02,2.32,2.2,2.32
2016-03-03,2.46,2.32,2.46
2016-03-04,2.37,2.42,2.37
2016-03-07,2.47,2.36,2.47
2016-03-08,2.3,2.44,2.3
2016-03-09,2.26,2.32,2.26
2016-03-10,2.26,2.29,2.26
2016-03-11,2.52,2.29,2.52
2016-03-14,2.72,2.53,2.72
2016-03-15,2.49,2.67,2.49
2016-03-16,2.63,2.5,2.63
2016-03-17,2.8,2.77,2.8
2016-03-18,2.93,2.8,2.93
2016-03-21,2.8,2.9,2.8
2016-03-22,2.79,2.73,2.79
2016-03-23,2.68,2.8,2.68
2016-03-24,2.79,2.69,2.79
2016-03-28,2.78,2.81,2.78
2016-03-29,2.86,2.74,2.86
2016-03-30,2.86,2.88,2.86
2016-03-31,2.85,2.84,2.85
2016-04-01,2.83,2.79,2.83
2016-04-04,2.83,2.83,2.83
2016-04-05,2.76,2.76,2.76
2016-04-06,2.8,2.75,2.8
2016-04-07,2.64,2.76,2.64
2016-04-08,2.74,2.7,2.74
2016-04-11,2.76,2.76,2.76
2016-04-12,2.81,2.79,2.81
2016-04-13,2.8,2.78,2.8
2016-04-14,2.72,2.77,2.72
2016-04-15,2.7,2.72,2.7
2016-04-18,2.76,2.67,2.76
2016-04-19,2.62,2.78,2.62
2016-04-20,2.7,2.62,2.7
2016-04-21,2.62,2.65,2.62
2016-04-22,3.99,3.19,3.99
2016-04-25,3.45,3.81,3.45
2016-04-26,3.66,3.45,3.66
2016-04-27,3.73,3.55,3.73
2016-04-28,3.61,3.69,3.61
2016-04-29,3.55,3.69,3.55
2016-05-02,3.74,3.58,3.74
