date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES
2016-01-04,140.40021840751,40.930492669207,53.45328673718701,85.24,97.85388956978201,37.09447081280242,91.97,2.77,151.77489213200002,8.6806762487709
2016-01-05,141.01223407146003,40.920958429126,53.230603369422,85.0,98.363194897013,36.621176129385475,92.34,2.75,150.73806943221,8.8003462288707
2016-01-06,138.17209888095,40.577725786198,53.239881843079004,85.3,98.171004207492,36.2760654227273,91.02,2.505,146.7502898176,8.4965685870791
2016-01-07,134.80601272924,39.605233297901,53.082147790913,81.92,95.288143864672,35.76332951569229,89.11,2.275,148.37531001055,8.2848447761335
2016-01-08,134.34700098126999,38.775754410824,51.634705900442,84.58,94.36562855497,35.211152385039185,87.85,2.14,145.11530017561,8.4045147562332
2016-01-11,134.31831274703,38.832959851312,49.992416063177004,85.0,95.35541060600401,35.70416768026517,89.38,2.34,146.60074808205,8.3124609253872
2016-01-12,134.70082253699,39.52895937725,50.883149534236004,88.32,97.065907742744,36.60145551757644,89.82,2.39,147.61763188377,8.0547101990186
2016-01-13,132.65439516067,38.651809289766,48.016101174265,85.81,95.384239209433,34.37302638315504,88.3,2.25,141.72568750319,7.953450985088099
2016-01-14,135.00683036897,39.438663401424996,51.187152795387,87.88,97.90193724216199,34.90548290199909,89.8,2.21,140.88825378412,8.146764029864599
2016-01-15,132.62570692642,38.901299617853,53.795295844712,87.41,95.39384874390899,34.42232791267762,89.17,2.03,143.84918014797,7.8613971542422
2016-01-19,132.33882458395001,38.795746017508996,51.590570605174996,86.25,97.421460518359,34.6589752543861,89.18,1.95,144.17817196618,8.0270940497649
2016-01-20,130.97135208481,38.344744270583,53.617041463643,83.17,95.192048519911,34.22512179458724,87.94,1.8,142.95192973468,7.935040218918901
2016-01-21,131.73637166475,37.884146741807,54.752240416766995,82.94,94.452114365254,34.07721720601945,88.0,2.09,143.36067714518,8.386103990063999
2016-01-22,133.4194147406,38.411914743529,55.193185464673995,86.68,98.2478804833,35.4182188090341,89.63,2.02,143.98875243448,8.441336288571499
2016-01-25,131.55467951451,38.056870815098,55.024312893135004,89.29,97.77701329397301,34.24484240639628,86.77,2.12,144.27786645653998,8.0455048159341
2016-01-26,138.44941847867,38.536659907571995,54.658422321467,86.62,98.526556983106,34.80687984295389,86.89,2.07,151.00724455619,8.3216663084718
2016-01-27,139.18574982436002,38.834129144906996,53.579514225523994,83.35,97.978813517971,33.594062216697985,84.85,2.13,151.05709180136998,8.3584878408102
2016-01-28,140.87835564497,35.226115169497,52.39740622475001,81.77,99.05508137929,33.31797365137145,84.52,2.08,148.10613488656,8.4321309054869
2016-01-29,144.39744571267,36.320034300338996,51.506134319405,85.33,101.41902686040001,34.33358515953696,89.13,2.2,151.58547260031,8.846373144293599
2016-02-01,142.2267026546,36.895781211309,51.027662033378,85.46,102.13013241163,34.18568057096916,89.61,2.14,154.41679612668,8.809125257370301
2016-02-02,141.40430660617,36.348821645888,50.614862414061,84.48,99.76618693051901,32.95314233290423,87.95,1.99,151.39605306862,8.6508217379461
2016-02-03,145.85098291454,36.483162591781,53.326205368215,84.81,98.11334700063499,32.657333155768626,87.99,2.07,147.4880290463,9.0791724375645
2016-02-04,146.73075543147,36.473566809931,53.251150891975,92.0,98.718747672628,31.493817059035333,86.36,2.09,147.39830400497,9.125732296218699
2016-02-05,146.75944366571002,35.897819898961004,49.836172223074996,81.53,95.105562709627,30.103513926498085,79.2,1.98,143.50024943168998,9.0791724375645
2016-02-08,147.17064168993,35.945798808209,49.620390603886,71.16,91.35784426396098,28.318798557780053,74.94,1.93,141.0178566216,8.7905013139086
2016-02-09,147.97391224886002,35.504392843132,50.173917366153,71.0,89.67617573064899,28.407541310920724,73.85,1.9,141.06770386678002,8.8556851160245
2016-02-10,146.84550836846,35.705904261971,49.460899841877,72.38,90.531424299019,29.72882230212634,75.53,1.84,138.14665529908,8.8743090594861
2016-02-11,145.13094618482,34.871071241065,48.95428212726,72.77,89.781880609886,30.093653620593567,74.94,1.86,137.9871441145,8.3807745577518
2016-02-12,148.29999651301,35.629138007175,49.329554508458,73.03,91.002291488347,27.727180203508876,76.67,1.83,140.33993408711,8.539078077176
2016-02-16,149.81227888846,36.454375246232,50.20206279474301,78.36,93.125998607557,29.009019971096414,78.88,1.83,145.55395593321,8.7346294835236
2016-02-17,150.86220741665002,36.895781211309,51.609334224235,77.45,95.14400084753099,29.038600888809967,81.85,1.9,142.97186863276002,8.9581168050636
2016-02-18,151.01632536574,36.761440265416,51.177770985857,79.51,94.67313365820401,28.47656345225236,80.53,1.91,142.88214359143,9.032612578910301
2016-02-19,150.69845709574,36.972547466105,50.93384393807901,81.32,95.086343640675,29.768263525744423,80.87,1.91,143.19119651156,8.762565398716099
2016-02-22,151.90250357301,37.577081722623,51.862643081543,82.45,96.431678467324,31.079684211045517,83.8,2.01,147.41824290303998,9.1164203244878
2016-02-23,150.42875068483,36.838206520212005,51.665625081415,82.07,95.759011053999,30.300720044588473,83.07,1.97,147.09922053388001,8.9208689181403
2016-02-24,151.44014972573999,37.615464850021,51.496752509875,80.89,95.662915709239,31.267030023231392,83.42,2.02,149.96045240736,9.3399076460279
2016-02-25,153.14507953756,38.028083469548996,52.725769558298,82.0,96.96981239798401,31.86850868340707,86.68,2.03,149.62149114011999,9.2840358156429
2016-02-26,152.45154876665,37.922529869205,52.538133367700006,80.65,97.171612621981,31.44451552951274,86.6,2.07,149.59158279301002,9.1909160983345
2016-02-29,151.1030167121,37.174058884944,51.234061843037004,80.01,96.345192657039,31.227588799613308,85.15,2.14,147.98650149813,9.125732296218699
2016-03-01,153.72302184665,37.740210014064004,52.857114891718,83.99,99.410634154904,31.76004531845736,88.37,2.18,152.88150097506,9.4237153916054
2016-03-02,153.54963915392,37.749805795914,52.256679081801,82.21,98.651480931295,31.56283920036697,88.39,2.32,151.70510598875,9.5727069392988
2016-03-03,153.52074203847,37.25082513974,52.47246070099,83.06,98.78601441396,31.079684211045517,87.21,2.46,153.40988177398998,9.731010458723
2016-03-04,154.18537569392998,37.596273286321995,52.678860510649,84.0,99.151176724051,30.75429411619637,86.18,2.37,151.90449496948,10.047617497571
2016-03-07,154.66699428484,37.596273286321995,52.913405748897,85.18,98.401633034917,30.547227692201467,85.11,2.47,151.05709180136998,10.14073721488
2016-03-08,154.31059652756,37.586677504472,51.900170319663,84.25,98.613042793391,30.35002157411107,84.35,2.3,149.22271317865,9.889313978147198
2016-03-09,154.20464043756002,37.692231104817,52.904023939367,87.4,99.362586482524,30.428904021347225,85.27,2.26,153.30021783459,9.777570317377199
2016-03-10,154.0119930012,37.45233655858,52.753914986888,85.98,99.535558103093,30.81345595162349,84.85,2.26,155.67294670528,10.066241441033
2016-03-11,155.92883499302,38.738171326412,54.16118641638,87.66,101.55356034306999,31.079684211045517,86.0,2.52,158.08555337212,10.159361158341
2016-03-14,155.86140839029,38.862916490455,53.673332320823,88.21,102.16857054954001,31.95725143654775,87.01,2.72,158.85320094793002,10.205921016996
2016-03-15,156.43935069938,38.287169579486,52.181624605562,87.34,102.88928563524,32.026273577879394,86.83,2.49,158.09552282116002,10.215232988726
2016-03-16,156.90170454666,38.555851471271,52.828969463128004,85.67,103.388981428,32.33194306091949,88.17,2.63,158.53417857877,10.606335801422
2016-03-17,157.73008852302,38.661405071616,51.900170319663,85.57,104.32110627216998,32.144597248733625,89.96,2.8,157.51691095074,10.736703405653
2016-03-18,159.2520032703,39.141194164091,53.072896510906,87.53,103.56195304855999,31.750185012552844,93.42,2.93,157.04816998489,10.820511151231
2016-03-21,158.78001705121,39.112406818542,52.547515177229,88.88,103.93672489312999,31.59242011808053,92.5,2.8,158.18511615738998,10.746015377384
2016-03-22,158.84744365393,39.371492928479,53.945404797191,93.5,103.61961025542,32.085435413306506,92.56,2.79,157.76624125173,10.746015377384
2016-03-23,158.23097185757,39.131598382241,52.875878510778,91.54,103.45624816933001,32.124876636924576,92.16,2.68,160.65847274316002,10.522528055844
2016-03-24,158.41398692212,39.102811036693,52.650715082059,90.6,109.83697906144,31.76004531845736,92.52,2.79,161.38651722204,10.773951292577
2016-03-28,160.16707859303003,39.227556200736,52.641333272529,90.48,109.71205511325,31.947391130643233,92.4,2.78,161.32667794981,10.624959744883
2016-03-29,158.34656031939,39.793707329856,53.523223368344,93.11,110.75949437113998,33.04079904115062,93.22,2.86,162.59327587881,10.848447066422999
2016-03-30,160.61980006848,39.966431403147,53.476314320694,93.03,110.86519925038,33.865825009988015,93.78,2.86,163.35123999381,10.820511151231
2016-03-31,160.50421160666,40.139155476438,53.588896035054,94.81,110.8940278538,33.63720335597284,93.8,2.85,159.91048184021002,10.988126642386
2016-04-01,161.3711250703,40.48460362302,53.870350320952,96.58,111.80693362903,34.213727526967645,95.16,2.83,159.99026753652,10.773951292577
2016-04-04,160.28266705485,40.609348787063,55.549694226812,95.7,110.99012319856001,34.024866160607274,94.5,2.83,158.80345530383002,10.578399886229
2016-04-05,159.71435711757,40.340666895278,54.921112988306,95.14,109.67361697534001,33.50798242109469,94.17,2.76,160.04013359671998,10.308352706035
2016-04-06,160.67759429939,41.309840862076996,56.187657274849,97.22,110.19253183705,33.79624450659209,95.4,2.8,159.45171408639,10.317664677766
2016-04-07,161.01472731303002,40.887626460699,55.634130512582,95.64,107.7228814767,33.219720335597295,93.78,2.64,155.41256321042,10.112801299687
2016-04-08,160.50421160666,40.657327696311,54.855440321596,96.25,108.42437749345,33.766424290850985,94.07,2.74,155.69181314753,10.205921016996
2016-04-11,160.46568211938998,40.762881296655,54.88358575018601,95.1,108.68383492430999,33.20978026368358,92.95,2.76,154.35540273425,10.261792847381
2016-04-12,161.85274366121,41.089137879538,56.187657274849,96.18,109.92346487171999,33.2793607670795,93.42,2.81,156.08076841706998,10.392160451612
2016-04-13,162.39215648303002,41.847204645648,55.94373022707,98.57,111.52825712922,34.9492928485817,94.53,2.8,160.0600800208,10.457344253728
2016-04-14,161.97796449485,42.001657996128,56.152122043019,97.37,111.32452597058001,34.700791050739106,94.44,2.72,160.50887456256999,10.466656225459
2016-04-15,162.57517154758003,41.905124652078,56.369986214239,98.22,111.3924363568,34.362828605673194,95.16,2.7,160.75820486356,10.47596819719
2016-04-18,163.31686417758002,42.426404709948,56.720463359244,101.17,112.13945060514,35.227614862165396,96.55,2.76,160.50887456256999,10.531840027575
2016-04-19,163.41318789576,42.329871365898,56.995161662086,100.38,111.66407790165,34.998993208150225,96.52,2.62,160.35927638198,10.708767490461
2016-04-20,162.72928949667,42.445711378758,57.288804675468995,101.64,112.09094318642,35.03875349580504,96.33,2.7,157.96570549252,10.494592140651
