Ticker,Industry
AAP,Consumer Discretionary
AMZN,Consumer Discretionary
APTV,Consumer Discretionary
AZO,Consumer Discretionary
BBY,Consumer Discretionary
BKNG,Consumer Discretionary
BWA,Consumer Discretionary
KMX,Consumer Discretionary
CCL,Consumer Discretionary
CBS,Consumer Discretionary
CHTR,Consumer Discretionary
CMG,Consumer Discretionary
CMCSA,Consumer Discretionary
DHI,Consumer Discretionary
DRI,Consumer Discretionary
DISCA,Consumer Discretionary
DISCK,Consumer Discretionary
DISH,Consumer Discretionary
DG,Consumer Discretionary
DLTR,Consumer Discretionary
EXPE,Consumer Discretionary
FL,Consumer Discretionary
F,Consumer Discretionary
GPS,Consumer Discretionary
GRMN,Consumer Discretionary
GM,Consumer Discretionary
GPC,Consumer Discretionary
GT,Consumer Discretionary
HBI,Consumer Discretionary
HOG,Consumer Discretionary
HAS,Consumer Discretionary
HLT,Consumer Discretionary
HD,Consumer Discretionary
IPG,Consumer Discretionary
KSS,Consumer Discretionary
LB,Consumer Discretionary
LEG,Consumer Discretionary
LEN,Consumer Discretionary
LKQ,Consumer Discretionary
LOW,Consumer Discretionary
M,Consumer Discretionary
MAR,Consumer Discretionary
MAT,Consumer Discretionary
MCD,Consumer Discretionary
MGM,Consumer Discretionary
KORS,Consumer Discretionary
MHK,Consumer Discretionary
NWL,Consumer Discretionary
NWSA,Consumer Discretionary
NWS,Consumer Discretionary
NKE,Consumer Discretionary
JWN,Consumer Discretionary
NCLH,Consumer Discretionary
ORLY,Consumer Discretionary
OMC,Consumer Discretionary
RL,Consumer Discretionary
PHM,Consumer Discretionary
PVH,Consumer Discretionary
ROST,Consumer Discretionary
RCL,Consumer Discretionary
SNA,Consumer Discretionary
SWK,Consumer Discretionary
SBUX,Consumer Discretionary
TPR,Consumer Discretionary
TGT,Consumer Discretionary
TIF,Consumer Discretionary
TJX,Consumer Discretionary
TSCO,Consumer Discretionary
TRIP,Consumer Discretionary
FOXA,Consumer Discretionary
FOX,Consumer Discretionary
ULTA,Consumer Discretionary
UAA,Consumer Discretionary
UA,Consumer Discretionary
VFC,Consumer Discretionary
VIAB,Consumer Discretionary
DIS,Consumer Discretionary
WHR,Consumer Discretionary
WYNN,Consumer Discretionary
YUM,Consumer Discretionary
