Ticker,Industry
MO,Consumer Staples
ADM,Consumer Staples
BF.B,Consumer Staples
CPB,Consumer Staples
CHD,Consumer Staples
CLX,Consumer Staples
KO,Consumer Staples
CL,Consumer Staples
CAG,Consumer Staples
STZ,Consumer Staples
COST,Consumer Staples
COTY,Consumer Staples
CVS,Consumer Staples
EL,Consumer Staples
GIS,Consumer Staples
HSY,Consumer Staples
HRL,Consumer Staples
SJM,Consumer Staples
K,Consumer Staples
KMB,Consumer Staples
KHC,Consumer Staples
KR,Consumer Staples
MKC,Consumer Staples
TAP,Consumer Staples
MDLZ,Consumer Staples
MNST,Consumer Staples
PEP,Consumer Staples
PM,Consumer Staples
PG,Consumer Staples
SYY,Consumer Staples
TSN,Consumer Staples
WMT,Consumer Staples
WBA,Consumer Staples
