Ticker,Industry
ARE,Real Estate
AMT,Real Estate
AIV,Real Estate
AVB,Real Estate
BXP,Real Estate
CBRE,Real Estate
CCI,Real Estate
DLR,Real Estate
DRE,Real Estate
EQIX,Real Estate
EQR,Real Estate
ESS,Real Estate
EXR,Real Estate
FRT,Real Estate
GGP,Real Estate
HCP,Real Estate
HST,Real Estate
IRM,Real Estate
KIM,Real Estate
MAC,Real Estate
MAA,Real Estate
PLD,Real Estate
PSA,Real Estate
O,Real Estate
REG,Real Estate
SBAC,Real Estate
SPG,Real Estate
SLG,Real Estate
UDR,Real Estate
VTR,Real Estate
VNO,Real Estate
WELL,Real Estate
WY,Real Estate
