date,top1,top2,top3
2016-01-04,MMM,ABT,ABBV
2016-01-05,AES,ACN,MMM
2016-01-06,ABMD,ABBV,ACN
2016-01-07,AAP,ABBV,ATVI
2016-01-08,ABMD,AES,MMM
2016-01-11,AMD,ADBE,ATVI
2016-01-12,ABMD,ATVI,AMD
2016-01-13,AES,MMM,ADBE
2016-01-14,ABBV,ACN,AES
2016-01-15,ABBV,AAP,ABMD
2016-01-19,ACN,AES,ATVI
2016-01-20,ABBV,AAP,MMM
2016-01-21,AMD,AES,ABBV
2016-01-22,ABMD,ACN,ATVI
2016-01-25,AMD,ABMD,AAP
2016-01-26,MMM,AAP,AES
2016-01-27,AMD,ABT,MMM
2016-01-28,MMM,ACN,AES
2016-01-29,AMD,ADBE,AES
2016-02-01,AAP,ABT,ACN
2016-02-02,MMM,ABBV,ABMD
2016-02-03,ABBV,AES,AMD
2016-02-04,ABMD,AMD,ACN
2016-02-05,MMM,AES,ABT
2016-02-08,MMM,ABT,ABBV
2016-02-09,ABBV,AES,MMM
2016-02-10,ATVI,ADBE,ABMD
2016-02-11,ATVI,AMD,ABMD
2016-02-12,ADBE,MMM,ABT
2016-02-16,ABMD,ATVI,AAP
2016-02-17,AMD,ADBE,ABBV
2016-02-18,ABMD,AES,AMD
2016-02-19,ATVI,ABMD,ABT
2016-02-22,AMD,ATVI,AES
2016-02-23,AAP,ABBV,ABMD
2016-02-24,AES,ATVI,AMD
2016-02-25,ADBE,ABBV,ATVI
2016-02-26,AMD,ACN,AAP
2016-02-29,AMD,ATVI,AES
2016-03-01,ABMD,ADBE,AAP
2016-03-02,AMD,AES,ABT
2016-03-03,AMD,AES,AAP
2016-03-04,AES,ABMD,ABT
2016-03-07,AMD,ABMD,AES
2016-03-08,ACN,ABT,MMM
2016-03-09,ABMD,AAP,ABBV
2016-03-10,AES,AAP,ATVI
2016-03-11,AMD,ABT,ABBV
2016-03-14,AMD,ATVI,ADBE
2016-03-15,ACN,MMM,ATVI
2016-03-16,AMD,AES,ADBE
2016-03-17,AMD,ADBE,AES
2016-03-18,AMD,ADBE,ABMD
2016-03-21,ABMD,AAP,ACN
2016-03-22,ABMD,ABBV,ATVI
2016-03-23,AAP,ATVI,ACN
2016-03-24,ACN,AMD,AES
2016-03-28,MMM,ATVI,ABT
2016-03-29,ATVI,ABMD,AMD
2016-03-30,ATVI,MMM,ADBE
2016-03-31,ABMD,AES,ABT
2016-04-01,ABMD,ATVI,ADBE
2016-04-04,ABBV,ABT,AMD
2016-04-05,AAP,ADBE,MMM
2016-04-06,ABT,ABBV,ABMD
2016-04-07,MMM,ABBV,ABT
2016-04-08,AMD,ATVI,AES
2016-04-11,AMD,AES,ABT
2016-04-12,ABBV,AMD,AES
2016-04-13,ATVI,AAP,ABMD
2016-04-14,ABBV,ABT,AAP
2016-04-15,ABMD,ADBE,ABBV
2016-04-18,ABMD,ATVI,AMD
2016-04-19,AES,ABBV,MMM
2016-04-20,AMD,ABMD,ABBV
2016-04-21,ABBV,ABMD,ADBE
2016-04-22,AMD,AAP,AES
2016-04-25,ADBE,ATVI,ABMD
2016-04-26,AMD,AES,ATVI
2016-04-27,AMD,AES,MMM
2016-04-28,ABBV,MMM,ACN
2016-04-29,ATVI,ADBE,AES
2016-05-02,AMD,ABMD,ACN
2016-05-03,ABBV,AAP,MMM
2016-05-04,ATVI,AES,ACN
2016-05-05,ATVI,AMD,ABBV
2016-05-06,ATVI,ACN,AAP
2016-05-09,ABBV,ABMD,AES
2016-05-10,AES,ADBE,ACN
2016-05-11,ATVI,AMD,ABT
2016-05-12,ATVI,AAP,ACN
2016-05-13,AMD,ATVI,ADBE
2016-05-16,AMD,ATVI,ABMD
2016-05-17,AMD,ACN,AES
2016-05-18,AMD,ABMD,ATVI
